date,seoul_pat,seoul_new,seoul_death,nat_pat,nat_new,nat_death
2020/02/01,564,0,0,12292,0,82
2020/03/01,7699,0,0,242883,0,2590
2020/04/01,17931,7,46,315359,82,6525
2020/05/01,22484,228,99,342230,709,8081
2020/06/01,33379,451,153,364458,1335,8326
2020/07/01,45246,288,292,421925,1530,9037
2020/08/01,72061,2267,452,499603,5642,9534
2020/09/01,142008,1424,1201,669463,3865,10989
2020/10/01,174720,719,2098,777689,2713,13660
2020/11/01,210736,2802,2472,880601,7769,14823
2020/12/01,417304,10209,3882,1436134,26554,20310
2021/01/01,686445,5168,7999,2203999,17500,37480
2021/02/01,736241,4083,9887,2352539,11493,42502
2021/03/01,934927,3803,12590,2989531,13430,51888
2021/04/01,1048475,5811,13141,3376149,18938,53527
2021/05/01,1310996,6303,15022,4207738,18978,60719
2021/06/01,1407501,6075,15098,4467984,16626,59734
2021/07/01,1770523,14377,16251,5452657,41401,63646
2021/08/01,2226916,15019,17290,6987002,53121,67502
2021/09/01,2675873,21148,18353,8401619,59899,71486
2021/10/01,3430507,19123,22225,10533724,53449,82306
2021/11/01,4049959,34711,27324,12067931,82566,95063
2021/12/01,5960209,70977,44655,16823958,183680,140978
2022/01/01,7585520,52140,63076,21908545,215009,194438
2022/02/01,12668116,498842,63276,46211396,2288947,202471
2022/03/01,53914993,1983383,90721,244472780,9962387,359111
2022/04/01,97308165,722562,126039,474636330,4143305,608994
2022/05/01,110442185,135270,146923,550660758,860022,733923
2022/06/01,109283374,49289,145822,547387614,256037,731822
2022/07/01,117178215,312023,152550,584508282,1417511,767166
2022/08/01,133049285,583610,157800,668857994,3472043,799495
2022/09/01,141710914,270218,161321,725587233,1523764,830490
2022/10/01,152096505,159869,172108,754285662.5,789036,893469
2022/11/01,5003593,13017,5608,25615667,58379,29209